Ticker,Underwriter,Name,Price,Date,Status,Link
"ADCP","AZ - SUCOR SEKURITAS","PT ADHI COMMUTER PROPERTI TBK (ADCP)",130,"23 Feb 2022","","https://www.e-ipo.co.id/id/ipo/62/adcp-pt-adhi-commuter-properti-tbk"
"NTBK","SF - SURYA FAJAR SEKURITAS","PT Nusatama Berkah Tbk (NTBK)",100,"09 Feb 2022","","https://www.e-ipo.co.id/id/ipo/59/ntbk-pt-nusatama-berkah-tbk"
"ENAK","AI - UOB KAY HIAN SEKURITAS","PT Champ Resto Indonesia Tbk (ENAK)",850,"08 Feb 2022","","https://www.e-ipo.co.id/id/ipo/74/enak-pt-champ-resto-indonesia-tbk"
"BAUT","AI - UOB KAY HIAN SEKURITAS","PT Mitra Angkasa Sejahtera Tbk (BAUT)",100,"28 Jan 2022","","https://www.e-ipo.co.id/id/ipo/73/baut-pt-mitra-angkasa-sejahtera-tbk"
"NETV","XA - NH KORINDO SEKURITAS INDONESIA","PT NET VISI MEDIA TBK (NETV)",196,"26 Jan 2022","","https://www.e-ipo.co.id/id/ipo/71/netv-pt-net-visi-media-tbk"
"ASLC","LG - TRIMEGAH SEKURITAS INDONESIA TBK.","PT Autopedia Sukses Lestari Tbk (ASLC)",256,"25 Jan 2022","","https://www.e-ipo.co.id/id/ipo/72/aslc-pt-autopedia-sukses-lestari-tbk"
"SEMA","XA - NH KORINDO SEKURITAS INDONESIA","PT SEMACOM INTEGRATED TBK (SEMA)",180,"10 Jan 2022","","https://www.e-ipo.co.id/id/ipo/70/sema-pt-semacom-integrated-tbk"
"ADMR","KI - CIPTADANA SEKURITAS ASIA","PT Adaro Minerals Indonesia Tbk (ADMR)",100,"03 Jan 2022","","https://www.e-ipo.co.id/id/ipo/69/admr-pt-adaro-minerals-indonesia-tbk"
"DRMA","AZ - SUCOR SEKURITAS","PT Dharma Polimetal Tbk (DRMA)",500,"20 Dec 2021","","https://www.e-ipo.co.id/id/ipo/67/drma-pt-dharma-polimetal-tbk"
"BSML","II - DANATAMA MAKMUR SEKURITAS","PT Bintang Samudera Mandiri Lines Tbk (BSML)",117,"16 Dec 2021","","https://www.e-ipo.co.id/id/ipo/51/bsml-pt-bintang-samudera-mandiri-lines-tbk"
"NASI","AI - UOB KAY HIAN SEKURITAS","PT Wahana Inti Makmur Tbk (NASI)",155,"13 Dec 2021","","https://www.e-ipo.co.id/id/ipo/63/nasi-pt-wahana-inti-makmur-tbk"
"IPPE","HD - KGI SEKURITAS INDONESIA","PT Indo Pureco Pratama Tbk (IPPE)",100,"09 Dec 2021","","https://www.e-ipo.co.id/id/ipo/66/ippe-pt-indo-pureco-pratama-tbk"
"OBMD","HD - KGI SEKURITAS INDONESIA","PT OBM Drilchem Tbk (OBMD)",180,"08 Dec 2021","","https://www.e-ipo.co.id/id/ipo/65/obmd-pt-obm-drilchem-tbk"
"AVIA","CC - MANDIRI SEKURITAS","PT Avia Avian Tbk (AVIA)",930,"08 Dec 2021","","https://www.e-ipo.co.id/id/ipo/64/avia-pt-avia-avian-tbk"
"RMKE","IU - INDO CAPITAL SEKURITAS","PT RMK Energy Tbk (RMKE)",206,"07 Dec 2021","","https://www.e-ipo.co.id/id/ipo/60/rmke-pt-rmk-energy-tbk"
"WGSH","AH - SHINHAN SEKURITAS INDONESIA","PT Wira Global Solusi Tbk (WGSH)",140,"06 Dec 2021","","https://www.e-ipo.co.id/id/ipo/55/wgsh-pt-wira-global-solusi-tbk"
"WMPP","SF - SURYA FAJAR SEKURITAS","PT Widodo Makmur Perkasa Tbk (WMPP)",160,"06 Dec 2021","","https://www.e-ipo.co.id/id/ipo/53/wmpp-pt-widodo-makmur-perkasa-tbk"
"TAYS","XA - NH KORINDO SEKURITAS INDONESIA","PT JAYA SWARASA AGUNG TBK (TAYS)",360,"06 Dec 2021","","https://www.e-ipo.co.id/id/ipo/57/tays-pt-jaya-swarasa-agung-tbk"
"CMRY","CC - MANDIRI SEKURITAS","PT Cisarua Mountain Dairy Tbk (CMRY)",3080,"06 Dec 2021","","https://www.e-ipo.co.id/id/ipo/61/cmry-pt-cisarua-mountain-dairy-tbk"
"DEPO","YP - MIRAE ASSET SEKURITAS INDONESIA","PT Caturkarda Depo Bangunan Tbk (DEPO)",482,"25 Nov 2021","","https://www.e-ipo.co.id/id/ipo/56/depo-pt-caturkarda-depo-bangunan-tbk"
"BINO","IU - INDO CAPITAL SEKURITAS","PT Perma Plasindo Tbk (BINO)",138,"25 Nov 2021","","https://www.e-ipo.co.id/id/ipo/54/bino-pt-perma-plasindo-tbk"
"MTEL","CC - MANDIRI SEKURITAS","PT Dayamitra Telekomunikasi Tbk (MTEL)",800,"22 Nov 2021","","https://www.e-ipo.co.id/id/ipo/52/mtel-pt-dayamitra-telekomunikasi-tbk"
"BOBA","MI - VICTORIA SEKURITAS INDONESIA","PT Formosa Ingredient Factory Tbk (BOBA)",280,"01 Nov 2021","","https://www.e-ipo.co.id/id/ipo/50/boba-pt-formosa-ingredient-factory-tbk"
"KUAS","XA - NH KORINDO SEKURITAS INDONESIA","PT ACE OLDFIELDS TBK (KUAS)",195,"25 Oct 2021","","https://www.e-ipo.co.id/id/ipo/49/kuas-pt-ace-oldfields-tbk"
"IDEA","IU - INDO CAPITAL SEKURITAS","PT Idea Indonesia Akademi Tbk (IDEA)",140,"09 Sep 2021","","https://www.e-ipo.co.id/id/ipo/45/idea-pt-idea-indonesia-akademi-tbk"
